Syslog Message,Explanation
101001, The failover cable is present and functioning correctly. Primary can also be listed as Secondary for the secondary unit.   
101002," The failover cable is present, but not functioning correctly. Primary can also be listed as Secondary for the secondary unit.   "
101003," Failover mode is enabled, but the failover cable is not connected to one unit of the failover pair. Primary can also be listed as Secondary for the secondary unit.   "
101004," Failover mode is enabled, but the failover cable is not connected to one unit of the failover pair. Primary can also be listed as Secondary for the secondary unit.   "
101005," The failover cable is connected, but the primary unit is unable to determine its status.  "
103001, The primary unit is unable to communicate with the secondary unit over the failover cable. Primary can also be listed as Secondary for the secondary unit. The following table lists the reason codes and the descriptions to determine why the failover occurred.   
103002, The primary unit has detected that the network interface on the secondary unit is okay. Primary can also be listed as Secondary for the secondary unit.   
103003, The primary unit has detected a bad network interface on the secondary unit. Primary can also be listed as Secondary for the secondary unit.   
103004, The primary unit received a message from the secondary unit indicating that the primary unit has failed. Primary can also be listed as Secondary for the secondary unit. The reason can be one of the following:   
103005, The secondary unit has reported an SSM card failure to the primary unit. Primary can also be listed as Secondary for the secondary unit.  
103006, The ASA has detected a peer unit that is running a version that is different than the local unit and is not compatible with the HA Hitless Upgrade feature.  
103007," The ASA has detected that the peer unit is running a version that is not identical, but supports Hitless Upgrade and is compatible with the local unit. The system performance may be degraded because the image version is not identical, and the ASA may develop a stability issue if the nonidentical image runs for an extended period.   "
103008, Number of interfaces on active and standby units in ASA are not same.
104001," You have forced the failover pair to switch roles, either by entering the   failover active  command on the standby unit, or the   no failover active  command on the active unit. Primary can also be listed as Secondary for the secondary unit. Possible values for the string variable are as follows:   "
104002," You have forced the failover pair to switch roles, either by entering the   failover active  command on the standby unit, or the   no failover active  command on the active unit. Primary can also be listed as Secondary for the secondary unit. Possible values for the string variable are as follows:   "
104003, The primary unit has failed.  
104004, A previously failed unit reports that it is operating again. Primary can also be listed as Secondary for the secondary unit.   
104500, This HA unit is assuming the Active role for the Cloud HA pair. Possible values for the reason string are:
104501, This HA unit is assuming the Backup role for the Cloud HA pair. Possible values for the reason string are: 
104502, This HA unit failed to assume the Backup role for the Cloud HA pair. The reason being the same as that of  104500 and 104501. 
105001," In version 7.x and later, this message may indicate the following: failover has been automatically disabled because of a mode mismatch (single or multiple), a license mismatch (encryption or context), or a hardware difference (one unit has an IPS SSM installed, and its peer has a CSC SSM installed). Primary can also be listed as Secondary for the secondary unit.  "
105002," You have used the   failover  command with no arguments on the console, after having previously disabled failover. Primary can also be listed as Secondary for the secondary unit.  "
105003, The ASA is testing the specified network interface with the other unit of the failover pair. Primary can also be listed as Secondary for the secondary unit.  
105004, The test of the specified network interface was successful. Primary can also be listed as Secondary for the secondary unit.  
105005, One unit of the failover pair can no longer communicate with the other unit of the pair. Primary can also be listed as Secondary for the secondary unit.  
105006, The results of monitoring the link status of the specified interface have been reported. Primary can also be listed as Secondary for the secondary unit.  
105007, The results of monitoring the link status of the specified interface have been reported. Primary can also be listed as Secondary for the secondary unit.
105008, Testing of a specified network interface has occurred. This testing is performed only if the ASA fails to receive a message from the standby unit on that interface after the expected interval. Primary can also be listed as Secondary for the secondary unit.  
105009, The result (either Passed or Failed) of a previous interface test has been reported. Primary can also be listed as Secondary for the secondary unit.  
105010, Block memory was depleted. This is a transient message and the ASA should recover. Primary can also be listed as Secondary for the secondary unit.  
105011, The failover cable is not permitting communication between the primary and secondary units. Primary can also be listed as Secondary for the secondary unit.  
105020," When a failover occurs, the active ASA detects a partial configuration in memory. Normally, this is caused by an interruption in the replication service. Primary can also be listed as Secondary for the secondary unit.  "
105021," During configuration synchronization, a standby unit will reload itself if some other process locks the configuration for more than five minutes, which prevents the failover process from applying the new configuration. This can occur when an administrator pages through a running configuration on the standby unit while configuration synchronization is in process. See also the   show    running-config  command in privileged EXEC mode and the   pager    lines   num  command in global configuration mode in the  Cisco ASA 5500 Series Command Reference .  "
105031, The LAN failover interface link is up.  
105032, The LAN failover interface link is down.   
105033, LAN interface of failover gone down.
105034, The peer has just booted and sent the initial contact message.  
105035, The peer LAN failover interface link is down. The unit switches to active mode if it is in standby mode.  
105036," The ASA dropped an unacknowledged LAN failover command message, indicating a connectivity problem exists on the LAN failover interface.  "
105037," The primary and standby units are switching back and forth as the active unit, indicating a LAN failover connectivity problem or software bug exists.  "
105038," When a failover occurs, the active ASA detects a partial configuration in memory. Normally, this is caused by an interruption in the replication service. Primary can also be listed as Secondary for the secondary unit.  "
105039, Failover initially verifies that the number of interfaces configured on the primary and secondary ASAs are the same. This message indicates that the primary ASA is not able to verify the number of interfaces configured on the secondary ASA. This message indicates that the primary ASA is not able to communicate with the secondary ASA over the failover interface. Primary can also be listed as Secondary for the secondary unit.  
105040, The primary and secondary ASAs should run the same failover software version to act as a failover pair. This message indicates that the secondary ASA failover software version is not compatible with the primary ASA. Failover is disabled on the primary ASA. Primary can also be listed as Secondary for the secondary ASA.  
105041, The nameif command replication fails as the number of interfaces is not consistent with mate. 
105042, The LAN failover interface link is up.  
105043, The LAN failover interface link is down.   
105044," When the operational mode (single or multiple) does not match between failover peers, failover will be disabled.  "
105045," When the feature licenses do not match between failover peers, failover will be disabled.  "
105046," Two failover units have a different type of chassis. For example, one has a three-slot chassis; the other has a six-slot chassis.  "
105047, The two failover units have different types of cards in their respective slots.  
105048, The failover process detected that different applications are running on the service modules in the active and standby units. The two failover units are incompatible if different service modules are used.  
105050, Number of Ethernet interfaces on standby unit is less than that on active unit. 
105500, Cloud HA has been enabled on this ASAv. 
105501, Cloud HA has been disabled on this ASAv. 
105502, An error occurred and caused this HA unit to restart Cloud HA. Possible values for the reason string are: 
105503, There was a change to the internal HA state. 
105504, This HA unit has established communication with its HA peer. 
105505, This HA unit has failed to establish communication with its HA peer. 
105506, An internal error occurred while attempting to create a socket needed for the failover connection or resonding to Azure load balancer probes. 
105507, An internal error occurred while attempting to start a socket needed for the failover connection or resonding to Azure load balancer probes. 
105508, An internal error occurred while attempting to create a socket on the Active unit for exchanging failover control messages with the Backup unit. 
